id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
27,2019-03-16 21:06:18.610792,,,,,,t,2019-03-16 21:12:21.851692,{},vote,12,1,Kenneth Chavez: Kendra Craig
46,2019-03-16 21:08:54.365726,,,,,,t,2019-03-16 21:12:21.862943,{},text,12,1,Kenneth Chavez: I feel endangered
49,2019-03-16 21:09:14.747021,,,,,,t,2019-03-16 21:12:21.872184,{},text,12,1,Kenneth Chavez: So I vote we all pick random names
58,2019-03-16 21:09:50.22031,,,,,,t,2019-03-16 21:12:21.881658,{},text,12,1,Kenneth Chavez: You don't
60,2019-03-16 21:10:03.82616,,,,,,t,2019-03-16 21:12:21.890668,{},text,12,1,Kenneth Chavez: which is why I say we all randomly pick
67,2019-03-16 21:10:43.346764,,,,,,t,2019-03-16 21:12:21.899896,{},text,12,1,Kenneth Chavez: yeet
77,2019-03-16 21:12:22.209685,,,,,,f,,{},info,1,1,Phase Change to Daytime: Victim - Kenneth Chavez
78,2019-03-16 21:12:32.468363,,,,,,f,,{},text,5,1,"Alexander Griffin: ok, who do we have left?"
79,2019-03-16 21:12:36.928424,,,,,,f,,{},text,9,1,Mitchell Schultz: Dang
81,2019-03-16 21:12:42.297174,,,,,,f,,{},text,10,1,Ashley Bautista: oh my 
82,2019-03-16 21:12:48.36483,,,,,,f,,{},text,14,1,"Cynthia Bird: Sara was a mafioso, so I was right"
84,2019-03-16 21:12:58.895303,,,,,,f,,{},text,5,1,Alexander Griffin: still going with Ruben....nothing but crickets from him/her
85,2019-03-16 21:13:03.437657,,,,,,f,,{},vote,10,1,Ashley Bautista: Ruben Sanchez
86,2019-03-16 21:13:15.675719,,,,,,f,,{},text,13,1,Eric Schneider: I'm leaning toward Ruben as well
2,2019-03-16 21:04:27.191461,,,,,,t,2019-03-16 21:11:12.504706,{},text,2,1,Sara Reed: Hello Ruben.  Who should we knock off?
4,2019-03-16 21:04:42.850493,,,,,,t,2019-03-16 21:11:12.516744,{},vote,2,1,Sara Reed: Ashley Bautista
14,2019-03-16 21:05:26.925228,,,,,,t,2019-03-16 21:11:12.530349,{},text,2,1,Sara Reed: Who was dropped during the night?
19,2019-03-16 21:05:53.546369,,,,,,t,2019-03-16 21:11:12.54421,{},vote,2,1,Sara Reed: Cynthia Bird
30,2019-03-16 21:07:02.978538,,,,,,t,2019-03-16 21:11:12.560297,{},text,2,1,Sara Reed: Why Kendra?
36,2019-03-16 21:07:30.750344,,,,,,t,2019-03-16 21:11:12.572347,{},text,2,1,Sara Reed: Who now?
38,2019-03-16 21:08:07.137502,,,,,,t,2019-03-16 21:11:12.58468,{},text,2,1,Sara Reed: Beth?
40,2019-03-16 21:08:18.63483,,,,,,t,2019-03-16 21:11:12.603045,{},vote,2,1,Sara Reed: Beth Ramsey
48,2019-03-16 21:09:02.395041,,,,,,t,2019-03-16 21:11:12.623544,{},text,2,1,Sara Reed: I did not thinking I could be next!!!
56,2019-03-16 21:09:43.434629,,,,,,t,2019-03-16 21:11:12.635687,{},text,2,1,Sara Reed: This is scaring me.  How do you find the bad guys?
64,2019-03-16 21:10:22.65479,,,,,,t,2019-03-16 21:11:12.644594,{},text,2,1,"Sara Reed: But if it a tie, the machine picks!"
72,2019-03-16 21:11:10.44792,,,,,,t,2019-03-16 21:11:12.654832,{},vote,2,1,Sara Reed: Alexander Griffin
74,2019-03-16 21:11:13.511723,,,,,,f,,{},info,1,1,Phase Change to Nighttime: Victim - Sara Reed
80,2019-03-16 21:12:39.456697,,,,,,f,,{},text,13,1,Eric Schneider: Good morning again!  :-)
83,2019-03-16 21:12:52.400286,,,,,,f,,{},text,14,1,Cynthia Bird: morning
75,2019-03-16 21:11:34.583449,,,,,,t,2019-03-16 21:15:02.15468,{},text,3,1,Ruben Sanchez: who now?
88,2019-03-16 21:13:18.746969,,,,,,t,2019-03-16 21:15:02.164774,{},text,3,1,Ruben Sanchez: I'll vote for you
90,2019-03-16 21:13:24.248089,,,,,,t,2019-03-16 21:15:02.174237,{},vote,3,1,Ruben Sanchez: Alexander Griffin
87,2019-03-16 21:13:17.84101,,,,,,f,,{},text,9,1,"Mitchell Schultz: Maybe Ruben then, Idk"
89,2019-03-16 21:13:20.589682,,,,,,f,,{},text,5,1,Alexander Griffin: yeah and she voted for me on her way out...the hell
92,2019-03-16 21:13:35.804889,,,,,,f,,{},text,10,1,Ashley Bautista: lol
91,2019-03-16 21:13:30.125086,,,,,,f,,{},text,5,1,Alexander Griffin: lol there he is
93,2019-03-16 21:13:54.287482,,,,,,f,,{},text,10,1,Ashley Bautista: this just got intersting 
94,2019-03-16 21:13:56.040942,,,,,,f,,{},text,13,1,Eric Schneider: Ruben already voted this round for Alexander....
95,2019-03-16 21:14:01.706454,,,,,,f,,{},text,5,1,Alexander Griffin: yeah...again
96,2019-03-16 21:14:32.635854,,,,,,f,,{},text,14,1,Cynthia Bird: were is Ruben?
97,2019-03-16 21:14:38.629675,,,,,,f,,{},text,13,1,Eric Schneider: Let's hope that he is a mafioso
98,2019-03-16 21:14:45.150621,,,,,,f,,{},text,5,1,Alexander Griffin: he's spoken once
99,2019-03-16 21:14:51.930419,,,,,,f,,{},text,5,1,Alexander Griffin: pretty sure he is
100,2019-03-16 21:14:54.396616,,,,,,f,,{},vote,13,1,Eric Schneider: Ruben Sanchez
101,2019-03-16 21:14:54.579374,,,,,,f,,{},vote,14,1,Cynthia Bird: Ruben Sanchez
102,2019-03-16 21:14:58.406562,,,,,,f,,{},text,10,1,Ashley Bautista: he is here now and voted
18,2019-03-16 21:05:52.489679,,,,,,t,2019-03-16 21:15:02.078332,{},vote,3,1,Ruben Sanchez: Alexander Griffin
37,2019-03-16 21:07:56.610495,,,,,,t,2019-03-16 21:15:02.090493,{},text,3,1,Ruben Sanchez: I don't know
39,2019-03-16 21:08:15.3449,,,,,,t,2019-03-16 21:15:02.101337,{},text,3,1,Ruben Sanchez: sure
41,2019-03-16 21:08:20.005184,,,,,,t,2019-03-16 21:15:02.111152,{},vote,3,1,Ruben Sanchez: Beth Ramsey
50,2019-03-16 21:09:19.265252,,,,,,t,2019-03-16 21:15:02.120402,{},text,3,1,Ruben Sanchez: I feel the same
69,2019-03-16 21:11:05.226988,,,,,,t,2019-03-16 21:15:02.129845,{},text,3,1,Ruben Sanchez: could be you Alexandra 
73,2019-03-16 21:11:11.697929,,,,,,t,2019-03-16 21:15:02.13723,{},vote,3,1,Ruben Sanchez: Alexander Griffin
76,2019-03-16 21:11:55.451061,,,,,,t,2019-03-16 21:15:02.146116,{},vote,3,1,Ruben Sanchez: Kenneth Chavez
103,2019-03-16 21:15:02.221579,,,,,,f,,{},info,1,1,Phase Change to Nighttime: Victim - Ruben Sanchez
