,1,2,
1400,hi,8,
1402,hi,8,
1540,hi there! ,8,
1596,hiya,8,
1621,hi,8,
1631,hi,8,
1651,hi,8,
1653,hii,8,
1655,hi,8,
1680,hi.,8,
1686,hi,8,
1687,hi,8,
1693,hi,8,
1694,hi,8,
1698,hi,8,
1699,hi,8,
1702,also hi,8,
1707,also hi. ,8,
1710,hi,8,
1712,hi,8,
1727,hi,8,
1729,hi,8,
1735,hi,8,
1741,hi guys,8,
1774,hi,8,
1865,hi. ,8,
1891,hi,8,
1917,hi,8,
1954,hi,8,
1994,hi team,8,
2023,hi,8,
2035,hi,8,
2053,hi,8,
2063,hi,8,
2075,hi,8,
2106,hi,8,
2114,hi,8,
2130,hi,8,
2141,hi,8,
388,"you're a slow typer, maybe that means youre a mafiosa",9,(accusing of being mafioso)
568,"i'm totally not mafioso! lol. but it's cool, gotta make dinner anyway! ",9,
591,that's exactly what a mafioso would say,9,
671,mafioso!,9,
834,"firstname was a mafioso, so i was right",9,
857,let's hope that he is a mafioso,9,
1156,"firstname lastname... that guy has been in quite a few movies, i bet he's got mob connections. i vote firstname lastname is the mafioso! ",9,
1189,"so that you could be the last mafioso standing, your kind knows no loyalty!",9,
1282,is he the mafioso?,9,
1305,firstname is mafioso,9,
1308,well she knew who was mafioso before so she must be mafioso herself,9,
1498,i've never heard of a mafiosa named firstname,9,
1520, i've never heard of a mafiosa named firstname,9,
2069,i want to take a selfie with the mafiosa,9,
2166,lastname? like the kind of thing a mafioso might say,9,
173,i'm an upstandin' citzen!,10,(?)
657,"true, i'm used to watching reactions and hearing tone of voice.",10,
791,lol. you'll see if i get iliminated that i was a bystanfer,10,
953,he's trying to blend in!,10,
1216,show yourself!,10,
1342,they're in cahoots!,10,
1802,how can you laugh!? this is serious busines!,10,
247,"great! so, who do we vote for?",11,who do we vote for?
273,"good morning, who do we vote on next?",11,
285,i vote for john,11,
949,i still don't know who to vote for.,11,
124,yeah he's been the first voter twice,12,(contains voting and me/self)
287,ok i too will vote that,12,
333,sounds good thats how i will vote,12,
441,i'm going with the one that voted for me,12,
625,you were the first to ever vote.,12,
721,i'm voting for sam,12,
754,ah! can't vote for myself,12,
848,i'll vote for you,12,
860,he is here now and voted,12,
1014,why would you vote for yourself?,12,
1036,"i can't vote for myself, but that's not bad. i'll give you moral support.",12,
1038,"if i were you, i'd vote for me. that's all i'm saying.",12,
1060,then you've got my vote i guess,12,
1142,"vote me, i'm a dum dum",12,
1198,ok now that we've voted..,12,
1232,just don't hold anything against me if i voted for you and you survive!,12,
1244,i was the first one to vote on day 1 and got the right guy lol,12,
1809,"sure, i'll sheep vote.",12,
1844,"i'll vote for you, because you're sinister enough. you're a money hungry, hoarse horse.",12,
1898,im hungry vote me off,12,
1921,no i'm a voter,12,
1987,i just voted for the first person to vote haha,12,
114,hmm,13,hmm
260,hmmm,13,
298,hmm,13,
322,hmm,13,
652,hmm,13,
698,hmmmmm,13,
1011,hmmm...,13,
1117,hmmmmmmm,13,
1163,hmm,13,
1817,hmm hmm hmmm,13,
2093,hmm..,13,
2095,hmmm,13,
142,firstname was the deciding vote last day.  could he be mafia?,14,(talking about what firstname did)
309,firstname was trying to talk at night so he is mafia,14,
622,lastname led the mob against lastname and he was wrong suspecious?,14,
649,"he did suggest firstname last round, and i don't think firstname was actually mafia...",14,
1114,why would it be me firstname & firstname? i voted against the mafia last round... maybe you two are part of it to?,14,
1139,see they voted firstname out...other person that wanted her out was firstname. he's the next mafia,14,
1181,"since i voted for firstname to be eliminated, that means i'm not a mafia. firstname, on the other hand, wanted me gone.",14,
2173,i think firstname is mafia....she wanted him gone,14,
310,yeah i agree,15,i agree
450,i agree,15,
612,agree,15,
1025,i agree.,15,
1044,i agree,15,
1168,i agree,15,
1432,"yea, i agree",15,
1832,i'd say that too.,15,
1903,agreed,15,
1925,i agree,15,
2160,i agree,15,
96,why did you choose me,16,(?)
321,because theres no cop role youre gonna have to trust me,16,
954,because i know how you are.,16,
1437,"they said you, not me.  i just went along....",16,
1461,motive?,16,
1565,you did it to yourself. ,16,
314,no because no one said anything.,17,
443,did you not read the rules?,17,
662,or would that be too obvious?,17,
798,who didn't respond?,17,
1173,or did they?,17,
1336,we have no information about people.,17,
1450,i pretty much guess they won't say.. right?,17,
1456,yeah.. that's what all the nazis said.,17,
1496,there doesn't seem to be any evidence for it.,17,
1836,is there a point to this?,17,
52,sounds good to me. ,18,
232,sounds good,18,
416,no i'm here,18,
488,are you there,18,
531,sounds good.,18,
540,"ok, let's do it",18,
663,"eh, let's do it",18,
700,"ok, sounds good",18,
804,sounds good,18,
807,i'm here,18,
825,sounds good,18,
943,sounds good!,18,
1024,i'm here,18,
1316,i'm here,18,
1630,done deal,18,
1783,i wanna trade,18,
1819,there ya go,18,
387,jk there she is,19,
806,she hasn't responded,19,
850,yeah and she voted for me on her way out...the hell,19,
909,says the not so famous younger sister,19,
1039,"yeah, i don't like her music. i'll vote for her.",19,
1133,good she's gone,19,
1147,yes kick her out,19,
1196,she is but i voted you cause you were gonna vote me,19,
1486,jill,19,
1591,she's a mobster!,19,
1626,she was poor,19,
1728,lets get her outttta here!!!!!!!!!!!!!!!!!!!,19,
2026,was thinking her as well.,19,
2032,is she still here?,19,
2047,i don't see her name,19,
2068,"she really liked jaguars, i guess",19,
2084,how about that woman that jumped into the jaguar exhibit in arizona today. bold move,19,
2085,"she tried to pet, it didn't work",19,
2100,did she win?,19,
363,no idea yet.,20,
433,at this point it doesn't matter i guess,20,
436,they have no idea yet. :),20,
454,i have no idea at this point honestly.,20,
818,not a clue,20,
861,i don't know,20,
1043,good question,20,
1066,no clue,20,
1074,no idea,20,
1080,do not know,20,
1089,not sure tbh,20,
1170,i don't know,20,
1249,i don't understand this at all,20,
1373,doesnt matter,20,
1417,not sure,20,
1592,i honestly have no idea,20,
1850,i would assume.,20,
464,yep,21,yes
629,yeah,21,
897,yes!,21,
1350,yes,21,
1355,yes,21,
1442,yes,21,
1446,yes,21,
1711,yes,21,
1948,yes,21,
2014,yes,21,
2048,yep,21,
2108,yes,21,
85,that's jet li,22,
106,what is happening,22,
123,hola,22,
156,eyy fuggeddaboutit,22,
189,i dindu nuffin,22,
248,lol touche,22,
266,i see you,22,
290,woo,22,
300,thats sus,22,
352,awww shucks,22,
444,drhhdfrh,22,
458,aaahhh...i didn't even know what i was doing,22,
493,hai,22,
509,aye yinz,22,
582,researcher*,22,
597,sup yall,22,
598,sup,22,
723,sam it is,22,
748,sam,22,
752,wth,22,
853,this just got intersting ,22,
1055,undersatndable,22,
1123,woot,22,
1140,bwahaha,22,
1190,yip,22,
1192,intense,22,
1197,meanie,22,
1267,benyamin is correct.,22,
1347,howdy,22,
1443,hxcbv,22,
1444,xjfhuishf,22,
1445,bsdfyhidu,22,
1467,hai,22,
1470,doooo ittttt,22,
1491,italiansayswhat?,22,
1563,what's lampredotto? ,22,
1581,woops,22,
1616,feather hench,22,
1623,feather,22,
1750,helo,22,
1769,damnuit,22,
1778,boobs,22,
1796,h3ehe,22,
1803,.... my spelling sucks.,22,
1910,sup,22,
1964,"this is gonnna be harder than i thought, lol",22,
1985,f,22,
2010,yelloooo,22,
2105,sup,22,
27,that is not the lastname.,23,
103,firstname lastname,23,
105,firstname lastname,23,
132,lastname then,23,
222,firstname next,23,
233,firstname lastname,23,
277,firstname lastname,23,
306,are we going for lastname?,23,
383,yeah lastname,23,
507,firstname get firstname lastname,23,
517,firstname lastname is scary.,23,
619,firstname lastname,23,
631,firstname lastname?,23,
642,firstname lastname?,23,
920,firstname lastname has to go,23,
932,firstname lastname sleeps with the fishes,23,
975,lastname is the next to get it.,23,
995,let's lastname firstname ,23,
1026,what about firstname lastname?,23,
1071,trying to lastname you ,23,
1218,firstname lastname,23,
1221,firstname lastname,23,
1234,firstname lastname,23,
1251,firstname lastname,23,
1252,firstname lastname,23,
1253,firstname lastname,23,
1254,firstname lastname,23,
1256,firstname lastname,23,
1259,firstname lastname is my pick this time,23,
1322,firstname lastname,23,
1327,firstname lastname appeared after the night,23,
1502,firstname lastname,23,
1506,firstname lastname needs to go,23,
1508,firstname lastname after firstname,23,
1617,firstname lastname sounds appropriate,23,
1625,firstname firstname next,23,
1690,get firstname lastname,23,
1692,lets pick firstname lastname,23,
1703,let's pick firstname lastname,23,
1797,firstname lastname,23,
1846,firstname lastname!,23,
1873,not firstname lastname,23,
1890,firstname lastname,23,
1922,firstname lastname jr?,23,
1923,firstname lastname,23,
1935,firstname lastname,23,
1998,firstname lastname,23,
2016,firstname lastname,23,
2030,firstname lastname,23,
2036,firstname lastname,23,
2065,firstname lastname,23,
2074,lastname,23,
2142,firstname lastname,23,
2147,is firstname next,23,
2151,firstname lastname is next,23,
2165,why firstname lastname?,23,
533,def different orders,24,
648,i'll go with the group,24,
895,first is always safe its second,24,
970,cya later lol,24,
1098,dance fight,24,
1130,m just trying to get this party started,24,
1144,who want to go first?,24,
1145,ready to kick someone...,24,
1363,nobody is going to questoin the people that quick to the draw?,24,
1701,"it's the first turn, anyone have any ideas?",24,
1984,doctor's orders,24,
2146,a bit too eager...,24,
44,firstname lastname was the first to accuse me. they are mafia,25,
56,"firstname lastname here, not a mafia member :)",25,
62,firstname and firstname have to be the mafia based on the voting patterns.,25,
313,only the people who can sse firstname message is other mafia ,25,
341,"lastname is mafia, eliminate her",25,
614,"firstname made an accusation before discussing, so firstname is probably mafia.",25,
645,"too many people saying firstname, they are probably mafia",25,
659,"probably should kill firstname, since he thinks i'm mafia, haha",25,
690,firstname doesn't sound mafia. but it could be a trap.,25,
693,sam if firstname isn't mafia i'm assuming you are,25,
734,lastname sounds mafia,25,
885,"seems odd that firstname would make the first choice, probably mafia",25,
1084,"hmm, you targeted someone so fast firstname, ... mafia trying to point fingers? ",25,
1129,everyone agreeing firstname is probably mafia,25,
1134,firstname... that sounds like someone in the mafia ,25,
1174,"if you ask me, that means firstname lastname might well be a mafia. ",25,
1180,it turns out that firstname was indeed a member of the mafia.,25,
1247,so i think firstname is mafia,25,
1250,"i would defo be the least competent mafia person ever.  i'm with you, firstname.",25,
1332,well sounds like firstname is mafia,25,
1341,the three that picked firstname are probably mafia!,25,
1489,lastname is a mafia name,25,
1490,lastname is a mafia name guys trust me,25,
1503,firstname total mafia name and awfully quit,25,
1642,firstname watch out! the mafia is out to get you!,25,
1725,"firstname lastname is a crappy person, but not mafia",25,
1730,agreed. firstname is mafia.,25,
1743,firstname is mafia,25,
1756,"firstname is mafia, lets get rid of her",25,
1758,firstname is mafia too,25,
1768,"hey firstname, who do you think is in the mafia?",25,
1773,"interesting, would make sense firstname is mafia. ",25,
1810,"firstname lastname, are you the mafia lady?",25,
1815,get that mafia murderer firstname!,25,
1854,"if i was mafia, i'd want firstname lastname to be my name. very suave.",25,
1879,firstname is mafia i think,25,
1906,well firstname isn't mafia we know that,25,
1937,firstname lastname is mafia,25,
1942,firstname is mobster,25,
2037,firstname lastname or firstname both are mafia,25,
2080,firstname def mafia,25,
2094,firstname lastname mafia confirmed,25,
2109,"firstname is a mafia too, i saw it when we were chatting last night",25,
2117,who thinks firstname is mafia?,25,
2131,sounds like a mafia name to me ,25,
2145,firstname should probably be next since she is throwing people under the bus...sounds just like mafia,25,
2161,yeah i heard she laundered money to the mafia along with firstname lastname.,25,
2174,firstname lastname... lastname. laundry. laundered money to the mafia!,25,
2185,"gasp, so firstname wasn't mafia?",25,
256,hello again everyone!,26,
358,hello!,26,
392,hello!,26,
579,hello!,26,
1155,hello!,26,
1384,hello!,26,
1387,hello!,26,
1388,hello!,26,
1481,hello. not me!,26,
1551,hello all!,26,
1574,greetings!,26,
2027,hello!,26,
2139,hello!,26,
2159,hello people!,26,
126,espinoze to make it seem less suspicious?,27,
136,lastname's acting suspicious,27,
137,"i'm not, but i certainly can see how it would be suspicious. at this point, i don't know what's going on",27,
196,that sounds suspicious...,27,
203,"sorry firstname, but you sound suspicious",27,
320,just trust,27,
439,suspicious*,27,
564,"that sounded a lastname suspicious, just saying",27,
610,kind of suspicious to just vote for a random guy first before discussion.,27,
784,so she could be afk or not wanting to look suspicious,27,
814,this game can easily make one feel paranoid...,27,
1007,yeah i don't trust the guy,27,
1037,i have been acting suspiciously.,27,
1301,you sound very suspicious firstname,27,
1492,i go with my gut instinct,27,
1526,i go with my gut instinct,27,
1673,anyone have anything to offer. i dont even know what would be suspicious,27,
1859,"getting really suspicious of you silent, murder-y types.",27,
308,i couldnt ,28,
371,i'm slow,28,
406,you are*,28,
418,you're very accusatory,28,
445,i'm real,28,
460,i did,28,
931,i don't konw,28,
1131,i',28,
1167,i,28,
1358,you're an all star,28,
1435,i'm not,28,
1454,"i'm...melting,.,",28,
1594,i am not!,28,
1720,im not,28,
1788,i am,28,
1841,you are?!,28,
2111,me,28,
2121,i didn't though,28,
12,"yeah tons of errors in console, oh well messaging req",29,
31,is it stuck?,29,
167,it's too dark to see the screen,29,
741,glitch?,29,
1104,yeah it is fast,29,
1237,looks like the problem is solved!,29,
1365,yeah and i don't know how?,29,
1538,that works for me :) ,29,
1567,check the instructions,29,
1640,would that be the blue screen of death on the computer?,29,
1658,i think my thing is lagging ,29,
21,"right. so, should we just sit back and let them eat themselves?",30,
368,should we wait to eliminate someone?,30,
408,y'all are lynching an innocent person,30,
751,he keeps trying to get rid of people,30,
923,i'm here.  i just hate to pick someone to get rid of.,30,
1086,well i guess we're killing this guy,30,
1460,you seem eager to throw people out,30,
1934,i say we elinate,30,
1965,any thoughts on strategy?,30,
11,sure,31,
319,sure why not,31,
357,sure,31,
522,sure.,31,
632,sure,31,
862,sure,31,
1172,sure,31,
1755,sure,31,
2058,sure,31,
2066,sure.,31,
2205,sure,31,
250,good morning!,32,
261,have a good night muwhwhw,32,
526,good morning!,32,
537,see you tomorrow morning :x,32,
845,good morning again!  :-),32,
1070,welp see you guys in the morning,32,
1148,very gd morning,32,
1184,good morning!,32,
1186,"very few of us left, wow. good morning, brave few. ",32,
1561,good morning friends,32,
1618,good day,32,
74,guess it's all me then.,33,
571,i guess,33,
630,just a guess,33,
664,it might be,33,
735,maybe,33,
852,lol there he is,33,
859,pretty sure he is,33,
1050,sounds like it could be any possibility. ,33,
1058,lol guess they're not that smart.,33,
1059,i think it could be either.,33,
1676,seems between those two,33,
1688,i'm not sure how to guess,33,
1706,well then. guess it wasn't either of those guys,33,
1820,guess it wasnt her lol,33,
1899,could be any of us. its just a guess.,33,
1914,it's you probably,33,
2029,so any guesses?,33,
2033,guess not,33,
2184,guess not :(,33,
16,lol,34,
63,lol,34,
284,lol,34,
435,lol!,34,
472,lol,34,
729,lol,34,
738,lol,34,
815,lol ,34,
851,lol,34,
868,lol :(,34,
887,lol,34,
890,lol,34,
919,lol,34,
965,lol,34,
1127,lol,34,
1175,"ehh, lol",34,
1202,lol,34,
1286,lol,34,
1292,lol,34,
1326,lol,34,
1354,lol,34,
1362,lol,34,
1389,lol,34,
1545,lol,34,
1595,lol,34,
1600,lol ,34,
1612,lol,34,
1624,lol,34,
1691,lol,34,
1826,lmao,34,
1924,lol,34,
1949,lol,34,
1972,lol,34,
1978,lol,34,
2061,lol,34,
2099,lol nice,34,
184,kill me first..hahahah,35,
354,kill me lol,35,
411,if you kill me,35,
871,don't kill me!,35,
901,i want to die,35,
1194,but you know that don't you,35,
1227,awww.... now you're going to kill me.  lol.  ,35,
1230,"hey, gotta kill someone.",35,
1644,be gentle!,35,
1675,too easy well i dont want to just blindly kill so idk,35,
1885,don't you turn this on me,35,
1908,so don't kill her,35,
1961,i'm a simple woman and would never harm anyone,35,
2110,lets kill him,35,
2115,"it's okay, you only got them killed",35,
66,i'm trying to help,36,
88,oh,36,
160,oh really,36,
165,oh yeah,36,
218,lolz,36,
278,idk,36,
326,oh it's just me now,36,
403,wait,36,
421,whoops,36,
424,oh crap,36,
432,nevermind,36,
453,idk ,36,
466,oops.,36,
639,no joke,36,
655,i missed that,36,
714,lol idc,36,
727,wait wait,36,
832,dang,36,
833,oh my ,36,
893,its the asian one ,36,
913,oops,36,
989,idk though,36,
1027,so be it then,36,
1056,ah wait,36,
1415,says the bot,36,
1646,oh it started ,36,
1647,oops,36,
1801,oh nooooo,36,
1958,oooo,36,
1963,oh boy,36,
2021,oh boy,36,
2176,well i'm stumpes,36,
2200,"whoops, did i say that out loud?",36,
198,sorry firstname :(,37,
201,sorry firstname you seem to protest too much :(,37,
274,sorry firstname!,37,
422,sorry firstname (if you're still watching),37,
463,"yes, i apologize firstname",37,
608,sorry make that firstname lastname,37,
678,"sorry, firstname",37,
740,sorry firstname,37,
803,sorry firstname...,37,
819,"going for people who aren't participating first though so, sorry firstname",37,
902,thanks firstname,37,
903,sorry firstname,37,
966,thanks firstname,37,
1067,sorry firstname ,37,
1293,"well i guess you get to finish early, sorry firstname :(",37,
1434,"aw firstname, now i'm feeling sorry for you.",37,
1505,"sorry, firstname",37,
1603,i'm sorry if i'm wrong firstname...,37,
1604,sorry firstname,37,
1633,"sorry, firstname!",37,
2002,oos sorry firstname,37,
2003,sorry firstname,37,
2012,sorry firstname,37,
2046,sorry firstname.,37,
0,hello,38,
1,hello,38,
35,hello?,38,
82,hello,38,
162,hello,38,
179,hello,38,
186,hello,38,
211,hello,38,
227,hello,38,
234,hello,38,
245,hello,38,
280,hello,38,
281,hello,38,
311,hello,38,
364,hello,38,
366,hello,38,
398,hello,38,
474,hello there,38,
478,hello,38,
489,hello,38,
494,hello,38,
498,hello,38,
519,hello,38,
523,hello,38,
553,hello,38,
557,hello,38,
566,hello,38,
573,hello,38,
682,hello,38,
703,hello,38,
707,hello,38,
793,hello,38,
795,hello,38,
808,hello,38,
865,hello,38,
869,hello,38,
872,hello,38,
898,hello,38,
941,hello,38,
948,hello,38,
958,hello,38,
1001,hello.,38,
1004,hello,38,
1063,hello~,38,
1075,hello,38,
1079,hello,38,
1088,hello,38,
1125,hello,38,
1150,hello,38,
1209,hello?,38,
1265,hello,38,
1270,hello,38,
1294,hello,38,
1296,hello,38,
1343,hello,38,
1367,hello,38,
1376,hello,38,
1386,hello,38,
1399,hello,38,
1401,hello,38,
1403,hello,38,
1458,hello,38,
1459,hello,38,
1466,hello,38,
1539,hello,38,
1558,hello.,38,
1584,hello,38,
1586,hello,38,
1610,hello,38,
1615,hello,38,
1622,hello,38,
1635,hello,38,
1645,hello,38,
1649,hello,38,
1650,hello,38,
1654,hello,38,
1663,hello.,38,
1713,hello,38,
1736,hello,38,
1739,hello ,38,
1867,hello,38,
1869,hello,38,
1871,hello ,38,
1950,hello,38,
1962,hello,38,
1989,hello,38,
1992,and hello,38,
1996,and hello,38,
2052,hello,38,
2089,hello,38,
2116,hello,38,
2123,greetings,38,
2136,hello,38,
125,what should we do now?,39,
214,who now?,39,
402,what?,39,
415,what,39,
442,too late now,39,
480,we just lost didn't we?,39,
840,who now?,39,
847,who now?,39,
960,"what, when?",39,
976,what now?,39,
1277,wait what?,39,
1315,what?,39,
1410,what about now?,39,
1705,"yeah. we don't really have anything else to go on now, you know?",39,
1814,what,39,
76,stalking in the night.,40,
77,eating some donuts.,40,
152,colonel mustard in the library with the candlestick,40,
171,yeah! that guy's a rat fink.,40,
243,i will haunt you,40,
328,or did you know because you were the one talking to him at night,40,
373,it's a shot in the dark.,40,
385,shot in the dark ,40,
490,the single person,40,
745,sleeps with fishes,40,
843,this is scaring me.  how do you find the bad guys?,40,
905,see you later,40,
1054,who loves italian food,40,
1271,then they'll know it was you,40,
1418,someone's a fibber,40,
1575,"you seem to be really connected to the family, like a targaryen.",40,
1632,"things that make you go ""hmm""",40,
1855,i read it in the sun.,40,
1857,<-clearly evil mastermind. ,40,
2019,say goodnight.,40,
2044,"okay, so someone needs to sleep with the fishes",40,
2076,any favorites?,40,
2126,look for the long coat,40,
2129,tommy with the butcher knife in the kitchen,40,
2177,anyone want to confess?,40,
455,"very boring, can't change my vote now but thanks for the apology",41,
691,welp votes aren't changeable ,41,
1030,well you got my vote if oyu want it.,41,
1178,"welp, its too late to change my vote",41,
1222,"oh, shoot.  i can't change my vote.  :(",41,
1224,no it says not changeable,41,
1225,"what are we supposed to base this vote on?  my button says ""vote (note changeable)""",41,
1228,"you can still click it, just can't change it afterwards.",41,
1500,i vote to evict the annoying,41,
1709,whoa sorry about that my page suddenly scrolled down and i thought time was up and just hit vote,41,
1811,"i just realized, i had to push vote xd oops. i haven't been voting",41,
4,??,42,
395,right?,42,
755,yea...,42,
855,yeah...again,42,
1299,hm?,42,
1628,?,42,
2133,? ,42,
70,me too!,43,
135,yeah me too,43,
447,me either,43,
589,yeah same,43,
863,i feel the same,43,
1261,me too,43,
1409,same,43,
1413,same,43,
1414,me too,43,
1671,same ,43,
1920,me too!,43,
2060,im both,43,
2091,i am too,43,
389,"firstname hasnt replied in awhile, bye!",44,
409,bye firstname,44,
504,bye firstname,44,
944,bye firstname,44,
